"Edu2.FM","Life.Exp","Mean.Edu","Mat.Mor","Ado.Birth","Parli.F"
"Norway",1.00723888314374,81.6,12.6,4,7.8,39.6
"Australia",0.996828752642706,82.4,13,6,12.1,30.5
"Switzerland",0.98343685300207,83,12.8,6,1.9,28.5
"Denmark",0.988612836438924,80.2,12.7,5,5.1,38
"Netherlands",0.969060773480663,81.6,11.9,6,6.2,36.9
"Germany",0.992783505154639,80.9,13.1,7,3.8,36.9
"Ireland",1.02417302798982,80.9,12.2,9,8.2,19.9
"United States",1.00316455696203,79.1,12.9,28,31,19.4
"Canada",1,82,13,11,14.5,28.2
"New Zealand",0.99685204616999,81.8,12.5,8,25.3,31.4
"Singapore",0.914814814814815,83,10.6,6,6,25.3
"Sweden",0.990836197021764,82.2,12.1,4,6.5,43.6
"United Kingdom",0.998998998998999,80.7,13.1,8,25.8,23.5
"Iceland",0.993449781659389,82.6,10.6,4,11.5,41.3
"Korea (Republic of)",0.864197530864198,81.9,11.9,27,2.2,16.3
"Israel",0.966781214203895,82.4,12.5,2,7.8,22.5
"Luxembourg",1,81.7,11.7,11,8.3,28.3
"Japan",1.01398601398601,83.5,11.5,6,5.4,11.6
"Belgium",0.934861278648975,80.8,11.3,6,6.7,42.4
"France",0.9375,82.2,11.1,12,5.7,25.7
"Austria",1,81.4,10.8,4,4.1,30.3
"Finland",1,80.8,10.3,4,9.2,42.5
"Slovenia",0.977551020408163,80.4,11.9,7,0.6,27.7
"Spain",0.913816689466484,82.6,9.6,4,10.6,38
"Italy",0.884472049689441,83.1,10.1,4,4,30.1
"Czech Republic",1.00200601805416,78.6,12.3,5,4.9,18.9
"Greece",0.888059701492537,80.9,10.3,5,11.9,21
"Estonia",1,76.8,12.5,11,16.8,19.8
"Cyprus",0.930232558139535,80.2,11.6,10,5.5,12.5
"Qatar",1.13050847457627,78.2,9.1,6,9.5,0
"Slovakia",0.995979899497487,76.3,12.2,7,15.9,18.7
"Poland",0.928654970760234,77.4,11.8,3,12.2,22.1
"Lithuania",0.944856839872746,73.3,12.4,11,10.6,23.4
"Malta",0.877237851662404,80.6,10.3,9,18.2,13
"Saudi Arabia",0.860597439544808,74.3,8.7,16,10.2,19.9
"Argentina",0.977430555555555,76.3,9.8,69,54.4,36.8
"United Arab Emirates",1.19444444444444,77,9.5,8,27.6,17.5
"Chile",0.959424083769633,81.7,9.8,22,55.3,15.8
"Portugal",0.989626556016598,80.9,8.2,8,12.6,31.3
"Hungary",0.991894630192503,75.2,11.6,14,12.1,10.1
"Bahrain",1.10311284046693,76.6,9.4,22,13.8,15
"Latvia",0.998989898989899,74.2,11.5,13,13.5,18
"Croatia",0.908119658119658,77.3,11,13,12.7,25.8
"Kuwait",0.987566607460036,74.4,7.2,14,14.5,1.5
"Montenegro",0.889123548046463,76.2,11.2,7,15.2,17.3
"Belarus",0.943600867678959,71.3,12,1,20.6,30.1
"Russian Federation",0.968648648648649,70.1,12,24,25.7,14.5
"Oman",0.82661996497373,76.8,8,11,10.6,9.6
"Romania",0.935869565217391,74.7,10.8,33,31,12
"Uruguay",1.08151093439364,77.2,8.5,14,58.3,11.5
"Bahamas",1.04109589041096,75.4,10.9,37,28.5,16.7
"Kazakhstan",0.964574898785425,69.4,11.4,26,29.9,20.1
"Barbados",1.02052451539339,75.6,10.5,52,48.4,19.6
"Bulgaria",0.971786833855799,74.2,10.6,5,35.9,20.4
"Panama",1.08216432865731,77.6,9.3,85,78.5,19.3
"Malaysia",0.91304347826087,74.7,10,29,5.7,14.2
"Mauritius",0.851724137931034,74.4,8.5,73,30.9,11.6
"Trinidad and Tobago",0.980295566502463,70.4,10.9,84,34.8,24.7
"Serbia",0.793478260869565,74.9,10.5,16,16.9,34
"Cuba",0.942893401015228,79.4,11.5,80,43.1,48.9
"Lebanon",0.956678700361011,79.3,7.9,16,12,3.1
"Costa Rica",1.0039603960396,79.4,8.4,38,60.8,33.3
"Iran (Islamic Republic of)",0.920118343195266,75.4,8.2,23,31.6,3.1
"Venezuela (Bolivarian Republic of)",1.11417322834646,74.2,8.9,110,83.2,17
"Turkey",0.65,75.3,7.6,20,30.9,14.4
"Sri Lanka",0.951570680628272,74.9,10.8,29,16.9,5.8
"Mexico",0.919141914191419,76.8,8.5,49,63.4,37.1
"Brazil",1.04198473282443,74.5,7.7,69,70.8,9.6
"Georgia",0.967637540453074,74.9,12.1,41,46.8,11.3
"Azerbaijan",0.962012320328542,70.8,11.2,26,40,15.6
"Jordan",0.885350318471338,74,9.9,50,26.5,11.6
"The former Yugoslav Republic of Macedonia",0.723021582733813,75.4,9.3,7,18.3,33.3
"Ukraine",0.956204379562044,71,11.3,23,25.7,11.8
"Algeria",0.861290322580645,74.8,7.6,89,10,25.7
"Peru",0.851739788199697,74.6,9,89,50.7,22.3
"Albania",0.930602957906712,77.8,9.3,21,15.3,20.7
"Armenia",0.989473684210526,74.7,10.9,29,27.1,10.7
"Bosnia and Herzegovina",0.643266475644699,76.5,8.3,8,15.1,19.3
"Ecuador",1.01776649746193,75.9,7.6,87,77,41.6
"China",0.816411682892907,75.8,7.5,32,8.6,23.6
"Fiji",0.995348837209302,70,9.9,59,42.8,14
"Mongolia",1.01426872770511,69.4,9.3,68,18.7,14.9
"Thailand",0.875,74.4,7.3,26,41,6.1
"Libya",1.32458233890215,71.6,7.3,15,2.5,16
"Tunisia",0.711496746203904,74.8,6.8,46,4.6,31.3
"Colombia",1.02338129496403,74,7.3,83,68.5,20.9
"Jamaica",1.05413105413105,75.7,9.7,80,70.1,16.7
"Tonga",0.990939977349943,72.8,10.7,120,18.1,0
"Belize",1.00791556728232,70,10.5,45,71.4,13.3
"Dominican Republic",1.04708097928437,73.5,7.6,100,99.6,19.1
"Suriname",0.94692144373673,71.1,7.7,130,35.2,11.8
"Maldives",0.834862385321101,76.8,5.8,31,4.2,5.9
"Samoa",1.07166666666667,73.4,10.3,58,28.3,6.1
"Botswana",0.944801026957638,64.5,8.9,170,44.2,9.5
"Moldova (Republic of)",0.968944099378882,71.6,11.2,21,29.3,20.8
"Egypt",0.724422442244224,71.1,6.6,45,43,2.2
"Gabon",1.49307479224377,64.4,7.8,240,103,16.2
"Indonesia",0.810975609756098,68.9,7.6,190,48.3,17.1
"Paraguay",0.855813953488372,72.9,7.7,110,67,16.8
"Philippines",1.03453689167975,68.2,8.9,120,46.8,27.1
"El Salvador",0.844036697247706,73,6.5,69,76,27.4
"South Africa",0.957839262187088,57.4,9.9,140,50.9,40.7
"Viet Nam",0.834269662921348,75.8,7.5,49,29,24.3
"Bolivia (Plurinational State of)",0.805414551607445,68.3,8.2,200,71.9,51.8
"Kyrgyzstan",0.976239669421488,70.6,10.6,75,29.3,23.3
"Iraq",0.553784860557769,69.4,6.4,67,68.7,26.5
"Guyana",1.26150627615063,66.4,8.5,250,88.5,31.3
"Nicaragua",1.02872062663185,74.9,6,100,100.8,39.1
"Morocco",0.685430463576159,74,4.4,120,35.8,11
"Namibia",0.968023255813953,64.8,6.2,130,54.9,37.7
"Guatemala",0.943965517241379,71.8,5.6,140,97.2,13.3
"Tajikistan",1.04276315789474,69.4,10.4,44,42.8,15.2
"India",0.477031802120141,68,5.4,190,32.8,12.2
"Honduras",1.08527131782946,73.1,5.5,120,84,25.8
"Bhutan",0.985507246376812,69.5,3,120,40.9,8.3
"Syrian Arab Republic",0.728395061728395,69.6,6.3,49,41.6,12.4
"Congo",0.84468085106383,62.3,6.1,410,126.7,11.5
"Zambia",0.586363636363636,60.1,6.6,280,125.4,12.7
"Ghana",0.698608964451314,61.4,7,380,58.4,10.9
"Bangladesh",0.825665859564165,71.6,5.1,170,80.6,20
"Cambodia",0.432314410480349,68.4,4.4,170,44.3,19
"Kenya",0.805732484076433,61.6,6.3,400,93.6,20.8
"Nepal",0.463350785340314,69.6,3.3,190,73.7,29.5
"Pakistan",0.418655097613883,66.2,4.7,170,27.3,19.7
"Myanmar",1.49673202614379,65.9,4.1,200,12.1,4.7
"Swaziland",0.842307692307692,49,7.1,310,72,14.7
"Tanzania (United Republic of)",0.589473684210526,65,5.1,410,122.7,36
"Cameroon",0.610315186246418,55.5,6,590,115.8,27.1
"Zimbabwe",0.785483870967742,57.5,7.3,470,60.3,35.1
"Mauritania",0.397129186602871,63.1,3.8,320,73.3,22.2
"Papua New Guinea",0.524137931034483,62.6,4,220,62.1,2.7
"Yemen",0.322097378277154,63.8,2.6,270,47,0.7
"Lesotho",1.15263157894737,49.8,5.9,490,89.4,26.8
"Togo",0.399503722084367,59.7,4.5,450,91.5,17.6
"Haiti",0.636363636363636,62.8,4.9,380,42,3.5
"Rwanda",0.909090909090909,64.2,3.7,320,33.6,57.5
"Uganda",0.683582089552239,58.5,5.4,360,126.6,35
"Benin",0.418518518518519,59.6,3.3,340,90.2,8.4
"Sudan",0.664835164835165,63.5,3.1,360,84,23.8
"Senegal",0.467532467532468,66.5,2.5,320,94.4,42.7
"Afghanistan",0.197986577181208,60.4,3.2,400,86.8,27.6
"C̫te d'Ivoire",0.465116279069767,51.5,4.3,720,130.3,9.2
"Malawi",0.513888888888889,62.8,4.3,510,144.8,16.7
"Ethiopia",0.428571428571429,64.1,2.4,420,78.4,25.5
"Gambia",0.552380952380952,60.2,2.8,430,115.8,9.4
"Congo (Democratic Republic of the)",0.395061728395062,58.7,6,730,135.3,8.2
"Liberia",0.391857506361323,60.9,4.1,640,117.4,10.7
"Mali",0.509933774834437,58,2,550,175.6,9.5
"Mozambique",0.225806451612903,55.1,3.2,480,137.8,39.6
"Sierra Leone",0.460829493087558,50.9,3.1,1100,100.7,12.4
"Burkina Faso",0.28125,58.7,1.4,400,115.4,13.3
"Burundi",0.63855421686747,56.7,2.7,740,30.3,34.9
"Chad",0.171717171717172,51.6,1.9,980,152,14.9
"Central African Republic",0.378277153558052,50.7,4.2,880,98.3,12.5
"Niger",0.307692307692308,61.4,1.5,630,204.8,13.3
